iter	Passed	Remaining
462	9401	10904
463	9429	10892
464	9451	10874
465	9475	10857
466	9503	10846
467	9522	10825
468	9548	10810
469	9575	10797
470	9599	10781
471	9620	10761
472	9633	10733
473	9668	10729
474	9716	10739
475	9742	10725
476	9776	10719
477	9792	10693
478	9811	10671
479	9824	10643
480	9846	10624
481	9861	10597
482	9881	10577
483	9907	10562
484	9924	10538
485	9939	10512
486	9952	10484
487	9975	10466
488	9992	10442
489	10012	10421
490	10026	10394
491	10045	10371
492	10061	10347
493	10081	10326
494	10101	10305
495	10116	10279
496	10132	10254
497	10156	10237
498	10179	10220
499	10200	10200
500	10233	10192
501	10248	10167
502	10265	10143
503	10295	10131
504	10312	10108
505	10328	10083
506	10347	10061
507	10369	10043
508	10386	10018
509	10404	9996
510	10426	9977
511	10443	9953
512	10461	9931
513	10479	9908
514	10496	9885
515	10514	9862
516	10528	9836
517	10546	9813
518	10559	9786
519	10581	9767
520	10605	9750
521	10617	9722
522	10641	9705
523	10660	9683
524	10674	9657
525	10691	9634
526	10710	9613
527	10735	9596
528	10748	9569
529	10770	9551
530	10791	9531
531	10813	9512
532	10830	9489
533	10851	9469
534	10868	9446
535	10883	9421
536	10902	9400
537	10919	9377
538	10945	9361
539	10959	9336
540	10991	9325
541	11015	9308
542	11033	9286
543	11058	9269
544	11081	9251
545	11116	9243
546	11140	9226
547	11167	9210
548	11189	9191
549	11228	9186
550	11248	9166
551	11264	9142
552	11283	9120
553	11302	9099
554	11320	9077
555	11340	9055
556	11357	9033
557	11381	9015
558	11401	8995
559	11419	8972
560	11439	8951
561	11455	8928
562	11471	8904
563	11486	8879
564	11505	8857
565	11522	8835
566	11544	8815
567	11560	8792
568	11577	8769
569	11593	8745
570	11609	8722
571	11624	8698
572	11644	8677
573	11661	8654
574	11676	8630
575	11691	8606
576	11708	8583
577	11735	8568
578	11755	8547
579	11777	8528
580	11792	8504
581	11811	8483
582	11838	8467
583	11856	8446
584	11875	8424
585	11892	8401
586	11908	8378
587	11927	8357
588	11941	8332
589	11960	8311
590	11978	8289
591	11997	8268
592	12015	8246
593	12032	8224
594	12051	8202
595	12069	8181
596	12082	8155
597	12100	8134
598	12117	8112
599	12132	8088
600	12152	8067
601	12182	8054
602	12198	8031
603	12230	8018
604	12249	7997
605	12269	7977
606	12284	7953
607	12303	7932
608	12321	7910
609	12340	7889
610	12362	7871
611	12379	7848
612	12401	7829
613	12420	7808
614	12437	7786
615	12451	7761
616	12465	7738
617	12485	7717
618	12502	7695
619	12522	7675
620	12541	7654
621	12561	7633
622	12588	7618
623	12606	7596
624	12624	7574
625	12641	7552
626	12664	7534
627	12683	7512
628	12704	7493
629	12730	7476
630	12747	7454
631	12762	7431
632	12779	7409
633	12797	7388
634	12814	7366
635	12831	7343
636	12847	7321
637	12866	7300
638	12883	7278
639	12895	7253
640	12916	7233
641	12930	7210
642	12946	7188
643	12960	7164
644	12979	7143
645	12997	7122
646	13015	7100
647	13028	7077
648	13045	7055
649	13062	7033
650	13080	7012
651	13099	6991
652	13119	6971
653	13141	6952
654	13158	6930
655	13178	6910
656	13201	6891
657	13226	6874
658	13246	6854
659	13264	6833
660	13280	6810
661	13294	6787
662	13311	6766
663	13330	6745
664	13347	6723
665	13366	6703
666	13381	6680
667	13398	6659
668	13413	6636
669	13433	6616
670	13449	6594
671	13465	6572
672	13483	6551
673	13496	6527
674	13513	6506
675	13532	6486
676	13555	6467
677	13577	6448
678	13598	6428
679	13615	6407
680	13630	6385
681	13644	6362
682	13663	6341
683	13689	6324
684	13718	6308
685	13747	6292
686	13766	6272
687	13781	6249
688	13802	6230
689	13815	6206
690	13828	6183
691	13852	6165
692	13869	6144
693	13885	6122
694	13905	6102
695	13924	6082
696	13942	6060
697	13957	6039
698	13976	6018
699	13992	5996
700	14008	5975
701	14029	5955
702	14048	5935
703	14066	5914
704	14092	5896
705	14109	5875
706	14134	5857
707	14148	5835
708	14175	5817
709	14191	5796
710	14211	5776
711	14235	5758
712	14254	5737
713	14273	5717
714	14294	5697
715	14308	5675
716	14327	5655
717	14344	5634
718	14361	5612
719	14381	5592
720	14403	5573
721	14423	5553
722	14436	5531
723	14459	5512
724	14475	5490
725	14488	5468
726	14507	5447
727	14520	5425
728	14540	5405
729	14557	5384
730	14577	5364
731	14596	5344
732	14613	5323
733	14633	5303
734	14649	5281
735	14673	5263
736	14688	5241
737	14709	5221
738	14747	5208
739	14764	5187
740	14791	5170
741	14810	5149
742	14829	5129
743	14850	5109
744	14863	5087
745	14879	5066
746	14894	5044
747	14917	5025
748	14939	5006
749	14951	4983
750	14969	4963
751	14984	4941
752	14998	4919
753	15017	4899
754	15036	4879
755	15053	4858
756	15075	4839
757	15092	4818
758	15112	4798
759	15128	4777
760	15155	4759
761	15173	4739
762	15204	4722
763	15235	4706
764	15257	4687
765	15281	4668
766	15302	4648
767	15325	4629
768	15338	4607
769	15350	4585
770	15368	4564
771	15387	4544
772	15412	4525
773	15432	4506
774	15447	4484
775	15466	4464
776	15480	4442
777	15503	4423
778	15523	4403
779	15540	4383
780	15557	4362
781	15579	4343
782	15591	4321
783	15607	4300
784	15628	4280
785	15644	4259
786	15661	4238
787	15675	4217
788	15691	4196
789	15708	4175
790	15726	4155
791	15756	4138
792	15783	4120
793	15800	4099
794	15821	4079
795	15839	4059
796	15858	4039
797	15880	4019
798	15898	3999
799	15916	3979
800	15931	3958
801	15947	3937
802	15967	3917
803	15979	3895
804	15998	3875
805	16021	3856
806	16044	3837
807	16063	3816
808	16081	3796
809	16095	3775
810	16111	3754
811	16129	3734
812	16147	3714
813	16172	3695
814	16191	3675
815	16217	3656
816	16241	3637
817	16258	3617
818	16276	3597
819	16291	3576
820	16316	3557
821	16332	3536
822	16357	3517
823	16375	3497
824	16390	3476
825	16408	3456
826	16422	3435
827	16439	3415
828	16456	3394
829	16475	3374
830	16489	3353
831	16508	3333
832	16524	3312
833	16544	3293
834	16566	3273
835	16587	3254
836	16609	3234
837	16634	3215
838	16650	3195
839	16672	3175
840	16690	3155
841	16709	3135
842	16727	3115
843	16755	3097
844	16775	3077
845	16790	3056
846	16808	3036
847	16824	3015
848	16842	2995
849	16867	2976
850	16889	2957
851	16907	2936
852	16925	2916
853	16945	2896
854	16961	2876
855	16979	2856
856	16995	2835
857	17010	2815
858	17030	2795
859	17051	2775
860	17070	2755
861	17083	2735
862	17103	2715
863	17126	2695
864	17141	2675
865	17163	2655
866	17191	2637
867	17214	2617
868	17241	2599
869	17254	2578
870	17272	2558
871	17295	2538
872	17316	2519
873	17338	2499
874	17354	2479
875	17375	2459
876	17395	2439
877	17408	2419
878	17420	2398
879	17439	2378
880	17461	2358
881	17476	2338
882	17495	2318
883	17515	2298
884	17534	2278
885	17561	2259
886	17590	2240
887	17609	2220
888	17626	2200
889	17640	2180
890	17659	2160
891	17677	2140
892	17693	2120
893	17712	2100
894	17724	2079
895	17752	2060
896	17772	2040
897	17791	2020
898	17810	2000
899	17829	1981
900	17845	1960
901	17865	1941
902	17884	1921
903	17901	1901
904	17918	1880
905	17936	1860
906	17953	1840
907	17967	1820
908	17986	1800
909	18009	1781
910	18023	1760
911	18038	1740
912	18054	1720
913	18072	1700
914	18089	1680
915	18104	1660
916	18127	1640
917	18145	1620
918	18178	1602
919	18210	1583
920	18231	1563
921	18252	1544
922	18270	1524
923	18291	1504
924	18312	1484
925	18333	1465
926	18348	1444
927	18377	1425
928	18400	1406
929	18420	1386
930	18438	1366
931	18459	1346
932	18480	1327
933	18497	1307
934	18520	1287
935	18542	1267
936	18569	1248
937	18599	1229
938	18626	1210
939	18646	1190
940	18666	1170
941	18697	1151
942	18730	1132
943	18757	1112
944	18773	1092
945	18792	1072
946	18810	1052
947	18831	1032
948	18851	1013
949	18864	992
950	18891	973
951	18913	953
952	18940	934
953	18959	914
954	18981	894
955	19010	874
956	19036	855
957	19060	835
958	19084	815
959	19102	795
960	19118	775
961	19136	755
962	19155	735
963	19177	716
964	19202	696
965	19226	676
966	19250	656
967	19269	637
968	19295	617
969	19312	597
970	19329	577
971	19346	557
972	19358	537
973	19371	517
974	19384	497
975	19408	477
976	19426	457
977	19445	437
978	19457	417
979	19475	397
980	19490	377
981	19508	357
982	19529	337
983	19549	317
984	19570	298
985	19593	278
986	19612	258
987	19627	238
988	19645	218
989	19661	198
990	19689	178
991	19718	159
992	19750	139
993	19769	119
994	19796	99
995	19815	79
996	19836	59
997	19857	39
998	19876	19
999	19894	0
