iter	Logloss
0	0.6738012223
1	0.6580230874
2	0.6431912165
3	0.6307399636
4	0.6181711942
5	0.6072460592
6	0.5960330294
7	0.5862174613
8	0.5752083452
9	0.5644914612
10	0.5572503147
11	0.549160768
12	0.5422589369
13	0.5365624327
14	0.5310666854
15	0.5247035778
16	0.518577107
17	0.5122778054
18	0.5065766976
19	0.5018957657
20	0.4971991433
21	0.4922233655
22	0.4886057778
23	0.4842999199
24	0.4796365901
25	0.4759702245
26	0.4725143319
27	0.468489399
28	0.4654058609
29	0.4624133543
30	0.458764417
31	0.4556696792
32	0.452718059
33	0.4509861359
34	0.4488374846
35	0.4464421415
36	0.4440440745
37	0.441536634
38	0.4399127823
39	0.4376826386
40	0.4360677705
41	0.4328949552
42	0.4313945209
43	0.4296976519
44	0.4276115824
45	0.4254353627
46	0.4227636017
47	0.4207915261
48	0.4197964809
49	0.4184181834
50	0.4167285418
51	0.4155443745
52	0.4138627097
53	0.4126334113
54	0.4109006788
55	0.4093939638
56	0.4077083616
57	0.4065159443
58	0.4046888706
59	0.4035225492
60	0.4018292555
61	0.400708353
62	0.3993853462
63	0.3982902936
64	0.3971028867
65	0.3964513586
66	0.3953922025
67	0.3941113657
68	0.3934731021
69	0.392194029
70	0.3915327957
71	0.3900697078
72	0.3889227462
73	0.3879953985
74	0.3872629188
75	0.386121827
76	0.3849261443
77	0.383692018
78	0.3816478553
79	0.3803299505
80	0.3794589386
81	0.3787876284
82	0.3778767177
83	0.3766072127
84	0.3754389098
85	0.3745333549
86	0.3734040517
87	0.3725850125
88	0.3713849962
89	0.3705144527
90	0.3698076336
91	0.3687194213
92	0.3682087363
93	0.366932295
94	0.3659236232
95	0.3647749694
96	0.3633986266
97	0.3625942683
98	0.3617714219
99	0.3607182746
100	0.3598655696
101	0.3588652126
102	0.3580137229
103	0.3573653134
104	0.3560961324
105	0.3554742029
106	0.3545905662
107	0.3534959509
108	0.3530788861
109	0.35235453
110	0.3513210456
111	0.3505242409
112	0.3500105393
113	0.3494543036
114	0.3487995589
115	0.3481414751
116	0.347254123
117	0.3464966177
118	0.345805293
119	0.3452554645
120	0.3443589474
121	0.3440517081
122	0.3434297307
123	0.3426606221
124	0.3420974819
125	0.3415389648
126	0.3412206459
127	0.3403080142
128	0.3394717635
129	0.3381943117
130	0.337526835
131	0.3370853408
132	0.3364180552
133	0.3353114664
134	0.3347756619
135	0.3340948472
136	0.3334730845
137	0.3328968132
138	0.3323889168
139	0.3315816254
140	0.3305239533
141	0.3300280925
142	0.3293676728
143	0.3284171528
144	0.32778693
145	0.3273578336
146	0.3268452185
147	0.3260889377
148	0.3256101674
149	0.3250189373
150	0.3247533109
151	0.3240444757
152	0.3233340418
153	0.3226969306
154	0.3221298994
155	0.3217372918
156	0.3210167064
157	0.3207205515
158	0.3202256961
159	0.3197830312
160	0.3192749818
161	0.3187389182
162	0.3180180757
163	0.3178796688
164	0.3173438649
165	0.3167171706
166	0.316302642
167	0.3160734402
168	0.3157485493
169	0.3149070055
170	0.3147673618
171	0.3144708062
172	0.3139456197
173	0.3138131972
174	0.3129072447
175	0.3124343749
176	0.3119210501
177	0.3110994872
178	0.3103073964
179	0.3098763318
180	0.309202196
181	0.3085027575
182	0.308105268
183	0.3073450161
184	0.3070210038
185	0.3063239284
186	0.3061681589
187	0.3058789605
188	0.3052866247
189	0.3048214849
190	0.304220159
191	0.3038473996
192	0.3037304866
